County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Hood River County, Oregon",2011,21962,10933,11029,1427.53,1778.922,1471.454,1515.378,1032.214,1449.492,1427.53,1515.378,1691.074,1669.112,1756.96,1427.53,1142.024,746.708,505.126,549.05,395.316,461.202
"Jackson County, Oregon",2011,202178,98613,103565,11928.502,12332.858,12332.858,13343.748,12130.68,11928.502,11321.968,11119.79,12332.858,13950.282,15163.35,15365.528,14152.46,10311.078,7884.942,6874.052,5256.628,4650.094
"Jefferson County, Oregon",2011,21786,11292,10494,1590.378,1721.094,1263.588,1525.02,1394.304,1132.872,1198.23,1176.444,1546.806,1655.736,1394.304,1503.234,1416.09,1089.3,915.012,610.008,457.506,217.86
"Josephine County, Oregon",2011,82456,40000,42456,4205.256,4287.712,5029.816,5359.64,3957.888,3792.976,3957.888,3957.888,4699.992,5524.552,6266.656,6596.48,6761.392,5112.272,4452.624,2885.96,2721.048,2803.504
"Klamath County, Oregon",2011,66517,33114,33403,3857.986,4057.537,4390.122,4656.19,4190.571,3591.918,3458.884,3791.469,4057.537,4722.707,4855.741,5188.326,4589.673,3591.918,2660.68,2328.095,1396.857,1064.272
"Lake County, Oregon",2011,7906,4152,3754,339.958,332.052,490.172,529.702,347.864,332.052,403.206,411.112,537.608,569.232,735.258,695.728,616.668,545.514,355.77,284.616,237.18,142.308
"Lane County, Oregon",2011,349832,172119,177713,18191.264,18191.264,20640.088,25887.568,32534.376,23088.912,21339.752,20989.92,19940.424,23088.912,25537.736,26237.4,22039.416,16092.272,11544.456,9095.632,7696.304,7696.304
"Lincoln County, Oregon",2011,45933,22194,23739,2250.717,2021.052,2250.717,2572.248,1975.119,2296.65,2158.851,2250.717,2388.516,3307.176,3904.305,4363.635,4409.568,3169.377,2526.315,1515.789,1423.923,1102.392
"Linn County, Oregon",2011,115776,57124,58652,7641.216,7872.768,7988.544,7756.992,6599.232,7409.664,7062.336,7293.888,6946.56,7872.768,8451.648,8104.32,7178.112,5441.472,4052.16,2894.4,2778.624,2315.52
"Malheur County, Oregon",2011,31280,17066,14214,2283.44,2033.2,2346,2283.44,2095.76,2064.48,2033.2,2189.6,1720.4,2001.92,2064.48,1876.8,1626.56,1345.04,1094.8,907.12,750.72,563.04
"Marion County, Oregon",2011,313020,156162,156858,23476.5,22537.44,22850.46,23163.48,21285.36,21911.4,20972.34,20346.3,19407.24,20033.28,20659.32,19407.24,16590.06,11581.74,9390.6,7199.46,5947.38,5947.38
"Morrow County, Oregon",2011,11107,5657,5450,799.704,710.848,1044.058,866.346,577.564,666.42,655.313,710.848,710.848,721.955,810.811,899.667,577.564,344.317,455.387,233.247,144.391,166.605
"Multnomah County, Oregon",2011,724803,358233,366570,45662.589,42763.377,36964.953,41313.771,52185.816,68856.285,65232.27,57259.437,53635.422,50011.407,50736.21,47836.998,36964.953,23918.499,15220.863,12321.651,12321.651,13046.454
"Polk County, Oregon",2011,74734,36206,38528,4782.976,4708.242,5455.582,6053.454,6202.922,4110.37,4185.104,3736.7,5081.912,4708.242,5156.646,4633.508,4633.508,3213.562,2615.69,2167.286,1569.414,1569.414
"Edwards County, Texas",2011,1908,964,944,104.94,125.928,99.216,110.664,116.388,78.228,78.228,131.652,89.676,141.192,146.916,179.352,124.02,112.572,83.952,74.412,72.504,40.068
"Tillamook County, Oregon",2011,25249,12761,12488,1312.948,1338.197,1413.944,1540.189,1009.96,1262.45,1287.699,1287.699,1363.446,1742.181,2019.92,2348.157,2120.916,1691.683,1211.952,984.711,757.47,555.478
"Umatilla County, Oregon",2011,75344,39193,36151,5575.456,4972.704,6102.864,5650.8,4746.672,5198.736,4746.672,4897.36,4746.672,5048.048,5123.392,4520.64,4445.296,2938.416,2260.32,1657.568,1356.192,1280.848
"Union County, Oregon",2011,25573,12551,13022,1585.526,1738.964,1380.942,1943.548,1943.548,1636.672,1304.223,1201.931,1483.234,1662.245,1917.975,1943.548,1611.099,1304.223,946.201,716.044,639.325,639.325
"Wallowa County, Oregon",2011,6949,3472,3477,319.654,354.399,354.399,361.348,319.654,305.756,305.756,257.113,340.501,486.43,639.308,674.053,646.257,451.685,389.144,326.603,271.011,159.827
"Lyon County, Minnesota",2011,24910,12620,12290,1544.42,1320.23,1818.43,1544.42,1519.51,1394.96,1444.78,1519.51,1320.23,1644.06,1918.07,1918.07,1718.79,1295.32,871.85,797.12,722.39,597.84
"Washington County, Oregon",2011,524275,258163,266112,38272.075,38272.075,36699.25,33553.6,31980.775,40893.45,41417.725,40893.45,40369.175,37747.8,36174.975,31456.5,25165.2,16252.525,11009.775,8912.675,7339.85,7339.85
"Wheeler County, Oregon",2011,1238,587,651,35.902,47.044,70.566,65.614,29.712,27.236,39.616,40.854,54.472,91.612,71.804,133.704,125.038,154.75,87.898,74.28,30.95,56.948
"Yamhill County, Oregon",2011,98293,49375,48918,6487.338,6880.51,7175.389,7666.854,6880.51,6094.166,5995.873,6683.924,6192.459,6880.51,6880.51,6585.631,5012.943,3735.134,2850.497,2162.446,1965.86,2162.446
"Adams County, Pennsylvania",2011,101137,49874,51263,5663.672,5967.083,6675.042,7585.275,6675.042,5157.987,5360.261,6371.631,7383.001,7888.686,7787.549,6978.453,6169.357,4854.576,3337.521,2831.836,2326.151,2123.877
"Allegheny County, Pennsylvania",2011,1223525,585278,638247,63623.3,66070.35,68517.4,80752.65,86870.275,84423.225,70964.45,72187.975,77082.075,90540.85,97882,86870.275,70964.45,52611.575,41599.85,40376.325,35482.225,35482.225
"Armstrong County, Pennsylvania",2011,69208,34194,35014,3668.024,3460.4,4429.312,4360.104,3391.192,3598.816,3668.024,4083.272,4775.352,5536.64,5951.888,5329.016,4290.896,3391.192,2837.528,2491.488,2007.032,1868.616
"Beaver County, Pennsylvania",2011,171027,82585,88442,8893.404,9577.512,9919.566,11116.755,9064.431,9235.458,8893.404,9577.512,11458.809,13682.16,14708.322,12998.052,10432.647,8209.296,6841.08,6499.026,5472.864,4617.729
"Bedford County, Pennsylvania",2011,49864,24837,25027,2592.928,3041.704,3191.296,3141.432,2393.472,2393.472,2592.928,3141.432,3590.208,3789.664,3989.12,3490.48,3141.432,2742.52,2243.88,1795.104,1446.056,1097.008
"Berks County, Pennsylvania",2011,409624,200979,208645,25396.688,26625.56,27854.432,31950.672,26625.56,23348.568,22529.32,25396.688,30312.176,31950.672,29902.552,26215.936,22119.696,16794.584,12288.72,11879.096,9421.352,8602.104
"Blair County, Pennsylvania",2011,127090,61704,65386,7371.22,7498.31,7371.22,9023.39,7371.22,7244.13,6989.95,7498.31,8260.85,9277.57,9913.02,9150.48,7752.49,6100.32,4702.33,4448.15,3812.7,3304.34
"Bradford County, Pennsylvania",2011,62522,30760,31762,3751.32,3751.32,4126.452,4126.452,3188.622,3126.1,3126.1,3876.364,4063.93,4939.238,4939.238,4689.15,4001.408,3126.1,2750.968,1938.182,1563.05,1500.528
"Bucks County, Pennsylvania",2011,624351,306297,318054,34339.305,38709.762,43704.57,42455.868,33090.603,33090.603,33090.603,39334.113,47450.676,54942.888,53069.835,44328.921,36836.709,26847.093,19354.881,16233.126,13735.722,13735.722
"Butler County, Pennsylvania",2011,183317,90255,93062,10082.435,11182.337,12465.556,13382.141,10999.02,9165.85,9715.801,11915.605,13565.458,15031.994,14848.677,13198.824,10265.752,7882.631,5866.144,5316.193,4399.608,4032.974
"Cambria County, Pennsylvania",2011,144489,71400,73089,7368.939,7657.917,8235.873,9680.763,9391.785,7513.428,7802.406,8524.851,9102.807,10403.208,11703.609,11125.653,8958.318,6935.472,5635.071,5346.093,4768.137,4479.159
"Cameron County, Pennsylvania",2011,5130,2540,2590,215.46,282.15,282.15,333.45,220.59,256.5,215.46,318.06,251.37,425.79,430.92,446.31,374.49,235.98,287.28,220.59,189.81,148.77
"Carbon County, Pennsylvania",2011,64974,31986,32988,3443.622,3508.596,4158.336,3833.466,3313.674,3313.674,3443.622,4028.388,4873.05,5197.92,5457.816,4743.102,4158.336,3313.674,2598.96,2014.194,1884.246,1559.376
"Centre County, Pennsylvania",2011,152689,79096,73593,6718.316,7023.694,6260.249,20613.015,28858.221,10077.474,8092.517,7787.139,8397.895,8855.962,8703.273,7939.828,6412.938,4886.048,3969.914,3206.469,2595.713,2290.335
"Chester County, Pennsylvania",2011,495651,243433,252218,31226.013,35191.221,34695.57,37173.825,29243.409,26765.154,27260.805,33208.617,37669.476,41139.033,39156.429,34199.919,25773.852,19330.389,13382.577,11895.624,9417.369,8921.718
"Clarion County, Pennsylvania",2011,40178,19451,20727,2089.256,2089.256,2249.968,3575.842,4258.868,1968.722,1928.544,2290.146,2450.858,2772.282,2892.816,2932.994,2129.434,1888.366,1607.12,1205.34,964.272,843.738
"Clearfield County, Pennsylvania",2011,81954,41822,40132,4179.654,4425.516,5081.148,5081.148,4753.332,4507.47,4671.378,5654.826,5408.964,6556.32,6392.412,5736.78,5081.148,4097.7,3196.206,2950.344,2130.804,1884.942
"Clinton County, Pennsylvania",2011,39015,19055,19960,2145.825,2067.795,2379.915,3316.275,3901.5,2184.84,1872.72,2067.795,2457.945,2653.02,2848.095,2496.96,2223.855,1833.705,1443.555,1053.405,1170.45,897.345
"Columbia County, Pennsylvania",2011,67020,32094,34926,3149.94,3351,3619.08,6366.9,6903.06,3418.02,3351,4021.2,4088.22,4758.42,4892.46,4624.38,3820.14,3149.94,2211.66,2144.64,1809.54,1407.42
"Crawford County, Pennsylvania",2011,89058,43297,45761,5076.306,5432.538,5788.77,6857.466,5521.596,4720.074,4452.9,4898.19,6145.002,6412.176,6768.408,6145.002,6145.002,4720.074,2938.914,3027.972,1870.218,1959.276
"Cumberland County, Pennsylvania",2011,233726,114579,119147,12621.204,13556.108,13556.108,17295.724,16828.272,14257.286,13322.382,14958.464,15893.368,17763.176,17529.45,16594.546,13322.382,9582.766,8180.41,6778.054,5843.15,5375.698
"Dauphin County, Pennsylvania",2011,266576,128892,137684,16794.288,16527.712,17060.864,18127.168,15994.56,18127.168,16261.136,18127.168,17060.864,20526.352,21059.504,18926.896,15194.832,10663.04,7730.704,7197.552,5598.096,5331.52
"Delaware County, Pennsylvania",2011,557648,267136,290512,33458.88,35131.824,36804.768,44611.84,38477.712,34574.176,31785.936,34016.528,37920.064,42938.896,42938.896,35689.472,29555.344,20632.976,16171.792,15614.144,13383.552,13941.2
"Elk County, Pennsylvania",2011,32233,15979,16254,1547.184,1772.815,2127.378,1998.446,1353.786,1547.184,1547.184,1998.446,2481.941,2675.339,2772.038,2417.475,1933.98,1611.65,1386.019,1224.854,838.058,999.223
"Erie County, Pennsylvania",2011,279824,137418,142406,16789.44,17069.264,18188.56,22106.096,22106.096,17349.088,15110.496,16229.792,18188.56,20147.328,21546.448,19028.032,15110.496,10913.136,8954.368,7555.248,6435.952,6435.952
"Cass County, North Dakota",2011,137803,67510,70293,6890.15,7716.968,8130.377,8405.983,7579.165,7579.165,7716.968,9094.998,9094.998,10335.225,11024.24,9921.816,9370.604,6752.347,5374.317,4960.908,4547.499,3169.469
"Forest County, Pennsylvania",2011,7600,5008,2592,190,243.2,235.6,509.2,767.6,539.6,554.8,539.6,463.6,570,547.2,532,524.4,486.4,364.8,182.4,212.8,136.8
"Franklin County, Pennsylvania",2011,148239,72497,75742,9783.774,9635.535,9932.013,9932.013,8153.145,8597.862,8301.384,9487.296,10524.969,10673.208,10524.969,9487.296,8894.34,7411.95,5188.365,4743.648,3409.497,3409.497
"Fulton County, Pennsylvania",2011,14858,7447,7411,921.196,995.486,950.912,906.338,757.758,757.758,817.19,965.77,1114.35,1114.35,1099.492,876.622,1054.918,846.906,653.752,430.882,341.734,252.586
"Greene County, Pennsylvania",2011,38895,20233,18662,1905.855,2100.33,2178.12,2722.65,2605.965,2178.12,2372.595,2761.545,2800.44,2878.23,3111.6,2994.915,2411.49,1750.275,1244.64,1050.165,972.375,855.69
"Huntingdon County, Pennsylvania",2011,45898,24535,21363,2432.594,2386.696,2662.084,3075.166,3212.86,2662.084,2845.676,3029.268,3304.656,3488.248,3396.452,3029.268,3075.166,2203.104,1744.124,1468.736,1009.756,826.164
"Indiana County, Pennsylvania",2011,88997,44221,44776,4449.85,4627.844,4627.844,8899.7,10501.646,4538.847,4182.859,4627.844,5250.823,5962.799,6496.781,6140.793,4894.835,3915.868,3114.895,2402.919,2046.931,2224.925
"Jefferson County, Pennsylvania",2011,45173,22342,22831,2574.861,2439.342,2981.418,3026.591,2394.169,2394.169,2394.169,2665.207,3026.591,3433.148,3749.359,3252.456,2665.207,2213.477,1852.093,1806.92,1310.017,1084.152
"Juniata County, Pennsylvania",2011,24439,12168,12271,1515.218,1588.535,1735.169,1539.657,1319.706,1393.023,1344.145,1564.096,1661.852,1832.925,1808.486,1637.413,1393.023,1099.755,1026.438,806.487,635.414,513.219
"Lackawanna County, Pennsylvania",2011,214057,102701,111356,11559.078,11559.078,12629.363,14555.876,14769.933,12629.363,11559.078,12201.249,14769.933,15626.161,16054.275,15198.047,12843.42,10274.736,7491.995,6849.824,6635.767,6849.824
"Lancaster County, Pennsylvania",2011,515817,252055,263762,35075.556,35075.556,35591.373,38170.458,34559.739,31464.837,28885.752,31980.654,33012.288,37654.641,37138.824,33528.105,26822.484,21148.497,15990.327,14958.693,12379.608,11863.791
"Lawrence County, Pennsylvania",2011,91341,43907,47434,4932.414,5480.46,5480.46,6119.847,5115.096,4658.391,4658.391,5297.778,6119.847,6667.893,7398.621,6850.575,5571.801,4293.027,3562.299,3379.617,2922.912,3014.253
"Lebanon County, Pennsylvania",2011,132550,64612,67938,8350.65,8483.2,8483.2,8483.2,7820.45,7422.8,7422.8,8483.2,8748.3,9808.7,9676.15,9145.95,7820.45,6362.4,4771.8,4374.15,3578.85,3181.2
"Lehigh County, Pennsylvania",2011,347197,168325,178872,21526.214,22567.805,22915.002,24650.987,20831.82,21179.017,21179.017,22915.002,24303.79,26734.169,26039.775,23262.199,18054.244,13193.486,11804.698,9721.516,8332.728,7985.531
"Luzerne County, Pennsylvania",2011,319897,156206,163691,16314.747,16634.644,19193.82,21752.996,20153.511,18234.129,16954.541,19513.717,22712.687,24312.172,23992.275,22712.687,19513.717,15035.159,12475.983,10876.498,9916.807,9596.91
"Lycoming County, Pennsylvania",2011,116335,57037,59298,6398.425,6631.095,6863.765,8376.12,8725.125,6863.765,5933.085,6980.1,7445.44,8725.125,9190.465,8492.455,6631.095,5351.41,3955.39,3490.05,3141.045,3141.045
"McKean County, Pennsylvania",2011,43642,22261,21381,2313.026,2356.668,2793.088,3185.866,2618.52,2269.384,2531.236,2880.372,3011.298,3316.792,3491.36,3098.582,2443.952,2094.816,1571.112,1309.26,1178.334,1221.976
"Mercer County, Pennsylvania",2011,116939,57241,59698,5963.889,7016.34,7250.218,8887.364,7484.096,5613.072,5730.011,6899.401,7601.035,8653.486,9121.242,8185.73,7016.34,5613.072,4560.621,4326.743,3625.109,3274.292
"Mifflin County, Pennsylvania",2011,46671,22828,23843,2986.944,3220.299,2846.931,2893.602,2380.221,2426.892,2380.221,2800.26,3266.97,3406.983,3360.312,3033.615,3126.957,2193.537,2193.537,1680.156,1306.788,1120.104
"Monroe County, Pennsylvania",2011,169050,83692,85358,8790.6,10650.15,12847.8,14876.4,10988.25,7776.3,8283.45,10988.25,12847.8,14876.4,13862.1,11326.35,9804.9,6762,5409.6,3381,3042.9,2535.75
"Montgomery County, Pennsylvania",2011,794921,385372,409549,46900.339,50080.023,52464.786,52464.786,42925.734,47695.26,47695.26,52464.786,58824.154,64388.601,62798.759,52464.786,44515.576,32591.761,24642.551,23052.709,19873.025,19078.104
"Montour County, Pennsylvania",2011,18193,8606,9587,982.422,1200.738,946.036,1218.931,909.65,1055.194,946.036,982.422,1182.545,1455.44,1510.019,1382.668,1091.58,873.264,709.527,745.913,436.632,600.369
"Northampton County, Pennsylvania",2011,296323,144905,151418,16297.765,18668.349,18075.703,22224.225,19260.995,16001.442,16001.442,19557.318,20742.61,23113.194,23113.194,20149.964,17186.734,13038.212,8889.69,8889.69,8000.721,7111.752
"Northumberland County, Pennsylvania",2011,94321,47261,47060,5187.655,5187.655,5187.655,5659.26,5470.618,5281.976,5376.297,6413.828,5942.223,7074.075,7262.717,6696.791,6225.186,4716.05,3772.84,3489.877,2829.63,2546.667
"Perry County, Pennsylvania",2011,45785,23001,22784,2747.1,2701.315,3113.38,3250.735,2380.82,2518.175,2518.175,2930.24,3571.23,3617.015,3845.94,3571.23,2838.67,2014.54,1510.905,1144.625,824.13,686.775
"Philadelphia County, Pennsylvania",2011,1514456,713241,801215,99954.096,90867.36,90867.36,118127.568,139329.952,134786.584,107526.376,95410.728,95410.728,98439.64,98439.64,83295.08,74208.344,53005.96,40890.312,36346.944,28774.664,27260.208
"Pike County, Pennsylvania",2011,57242,28610,28632,2862.1,3549.004,4293.15,4407.634,2461.406,2346.922,2747.616,3720.73,4293.15,4922.812,4751.086,4006.94,3892.456,2976.584,2404.164,1545.534,1259.324,744.146
"Washington County, Alabama",2011,17487,8760,8727,996.759,1066.707,1084.194,1206.603,839.376,839.376,804.402,891.837,1171.629,1346.499,1346.499,1329.012,1224.09,996.759,804.402,524.61,524.61,489.636
"Schuylkill County, Pennsylvania",2011,148195,75226,72969,7706.14,8150.725,8447.115,8595.31,7706.14,8447.115,8595.31,10077.26,10670.04,11262.82,11559.21,10670.04,9336.285,7261.555,5631.41,5038.63,4890.435,4149.46
"Snyder County, Pennsylvania",2011,39597,19661,19936,2375.82,2257.029,2692.596,3524.133,3167.76,2059.044,2059.044,2296.626,2692.596,2811.387,2811.387,2771.79,2138.238,1742.268,1425.492,1108.716,1029.522,673.149
"Somerset County, Pennsylvania",2011,77946,40019,37927,3663.462,4131.138,4598.814,4598.814,4131.138,4131.138,4364.976,4754.706,5456.22,6079.788,6469.518,6079.788,4832.652,4053.192,3117.84,2884.002,2338.38,2182.488
"Sullivan County, Pennsylvania",2011,6469,3328,3141,258.76,213.477,304.043,504.582,342.857,278.167,232.884,304.043,355.795,498.113,562.803,595.148,446.361,446.361,388.14,278.167,168.194,284.636
"Susquehanna County, Pennsylvania",2011,43311,21715,21596,2165.55,2512.038,2771.904,2945.148,2078.928,2035.617,2078.928,2555.349,2815.215,3638.124,3768.057,3118.392,3118.392,2555.349,1819.062,1342.641,996.153,996.153
"Tioga County, Pennsylvania",2011,41850,20572,21278,2218.05,2343.6,2469.15,3348,2929.5,2134.35,1966.95,2301.75,2678.4,3096.9,3264.3,3013.2,2636.55,2218.05,1925.1,1506.6,878.85,920.7
"Union County, Pennsylvania",2011,44872,24829,20043,2153.856,2288.472,2243.6,4128.224,3634.632,2871.808,3096.168,3141.04,3185.912,3275.656,3141.04,2692.32,2288.472,1660.264,1525.648,1525.648,942.312,1032.056
"Venango County, Pennsylvania",2011,55106,26964,28142,3085.936,3141.042,3416.572,3636.996,2810.406,2755.3,2865.512,2810.406,3802.314,4298.268,4849.328,4132.95,3747.208,2700.194,2314.452,1983.816,1377.65,1377.65
"Warren County, Pennsylvania",2011,41771,20793,20978,2088.55,2422.718,2464.489,2756.886,1963.237,2046.779,2130.321,2380.947,2840.428,3258.138,3550.535,3508.764,2673.344,2255.634,1754.382,1503.756,1169.588,1086.046
"Washington County, Pennsylvania",2011,207451,100832,106619,10580.001,11617.256,12654.511,13899.217,12447.06,10165.099,10580.001,12654.511,14106.668,16388.629,17218.433,15766.276,13484.315,9957.648,7883.138,7260.785,5601.177,5601.177
"Wayne County, Pennsylvania",2011,52477,27437,25040,2256.511,2623.85,3253.574,3306.051,2413.942,2466.419,2623.85,3148.62,3883.298,4250.637,4303.114,4250.637,3673.39,3096.143,2518.896,1941.649,1311.925,1049.54
"Westmoreland County, Pennsylvania",2011,365438,177719,187719,17541.024,20464.528,20829.966,23388.032,18637.338,17906.462,17541.024,21926.28,25215.222,29235.04,31427.668,28504.164,24118.908,18637.338,14617.52,13886.644,11328.578,10232.264
"Wyoming County, Pennsylvania",2011,28333,14170,14163,1529.982,1728.313,1756.646,2011.643,1699.98,1473.316,1501.649,1813.312,1841.645,2153.308,2266.64,2068.309,2011.643,1501.649,1019.988,793.324,623.326,538.327
"York County, Pennsylvania",2011,431967,213161,218806,26781.954,27645.888,28941.789,29373.756,24622.119,25054.086,25054.086,29373.756,32397.525,34989.327,33693.426,29373.756,24622.119,18574.581,13390.977,10367.208,9071.307,8639.34
"Bristol County, Rhode Island",2011,50264,24026,26238,2261.88,3066.104,3015.84,4272.44,3870.328,2161.352,2010.56,3066.104,3216.896,4171.912,4222.176,3619.008,2965.576,2111.088,1708.976,1658.712,1306.864,1507.92
"Kent County, Rhode Island",2011,166631,80242,86389,8331.55,9831.229,9997.86,9997.86,8998.074,9831.229,9664.598,10831.015,12997.218,13997.004,14163.635,12330.694,9997.86,6831.871,5498.823,4998.93,4332.406,4332.406
"Newport County, Rhode Island",2011,82765,40354,42411,4055.485,4303.78,5048.665,5545.255,5048.665,4634.84,4221.015,4883.135,6455.67,6455.67,6372.905,6869.495,5048.665,4221.015,3062.305,2400.185,2151.89,2151.89
"Providence County, Rhode Island",2011,627362,302659,324703,37641.72,37014.358,38896.444,48934.236,52698.408,44542.702,39523.806,40778.53,43915.34,45797.426,44542.702,37641.72,31368.1,21957.67,16938.774,15684.05,15056.688,14429.326
"Washington County, Rhode Island",2011,126937,61518,65419,5712.165,7235.409,7870.094,11551.267,10535.771,5204.417,5585.228,7108.472,8885.59,10408.834,10535.771,9393.338,8377.842,5712.165,4188.921,3300.362,2792.614,2665.677
"Abbeville County, South Carolina",2011,25515,12469,13046,1556.415,1658.475,1632.96,2143.26,1403.325,1250.235,1250.235,1097.145,2066.715,1811.565,1888.11,1913.625,1709.505,1301.265,1020.6,867.51,561.33,408.24
"Aiken County, South Carolina",2011,158253,76615,81638,9653.433,9653.433,10602.951,11077.71,9653.433,9969.939,9020.421,9495.18,10286.445,11710.722,12185.481,11394.216,9495.18,8070.903,5538.855,4589.337,3481.566,2373.795
"Keokuk County, Iowa",2011,10548,5720,4828,611.784,537.948,780.552,748.908,653.976,738.36,727.812,706.716,696.168,770.004,770.004,664.524,748.908,516.852,263.7,210.96,210.96,179.316
"Anderson County, South Carolina",2011,185675,89635,96040,11883.2,11883.2,13182.925,12625.9,10583.475,10583.475,10954.825,11697.525,13368.6,13925.625,13368.6,12068.875,11511.85,8726.725,6869.975,4827.55,3899.175,3342.15
"Bamberg County, South Carolina",2011,16061,7568,8493,947.599,1188.514,770.928,1445.49,1333.063,915.477,594.257,819.111,835.172,1300.941,1124.27,1220.636,963.66,915.477,578.196,256.976,353.342,481.83
"Barnwell County, South Carolina",2011,22638,10898,11740,1471.47,1335.642,1878.954,1697.85,1448.832,1199.814,1290.366,1335.642,1494.108,1697.85,1697.85,1584.66,1358.28,1018.71,747.054,498.036,430.122,430.122
"Beaufort County, South Carolina",2011,159048,78718,80330,10497.168,9065.736,8906.688,10020.024,11610.504,10497.168,9065.736,8747.64,8747.64,9224.784,9224.784,9860.976,11928.6,10974.312,8270.496,5566.68,3976.2,2862.864
"Berkeley County, South Carolina",2011,174679,87191,87488,12751.567,12402.209,11528.814,12751.567,13275.604,13624.962,12052.851,12926.246,12052.851,12402.209,11878.172,10306.061,9083.308,6113.765,4891.012,2969.543,1746.79,1397.432
"Calhoun County, South Carolina",2011,15198,7427,7771,896.682,881.484,972.672,957.474,866.286,805.494,683.91,911.88,1048.662,1200.642,1231.038,1307.028,1033.464,835.89,607.92,410.346,319.158,227.97
"Charleston County, South Carolina",2011,346981,168211,178770,22900.746,20124.898,18389.993,22900.746,31228.29,30534.328,23941.689,22900.746,21165.841,23941.689,23941.689,21859.803,19777.917,14226.221,10062.449,7980.563,5898.677,5551.696
"Cherokee County, South Carolina",2011,55111,26587,28524,3637.326,3967.992,3637.326,3912.881,3637.326,3251.549,3196.438,4188.436,3637.326,3912.881,3857.77,3967.992,3031.105,2424.884,1818.663,1432.886,936.887,661.332
"Chester County, South Carolina",2011,33190,16003,17187,2090.97,1925.02,2522.44,2456.06,1858.64,1825.45,1792.26,1925.02,2522.44,2489.25,2522.44,2555.63,1891.83,1493.55,1294.41,929.32,696.99,398.28
"Chesterfield County, South Carolina",2011,46378,22548,23830,2875.436,3200.082,3431.972,3478.35,2597.168,2597.168,2597.168,3060.948,3385.594,3524.728,3385.594,2782.68,3246.46,2087.01,1530.474,1066.694,834.804,695.67
"Clarendon County, South Carolina",2011,34746,17146,17600,2015.268,1876.284,2432.22,2640.696,2466.966,1980.522,1598.316,1841.538,2084.76,2397.474,2605.95,2362.728,2675.442,1945.776,1563.57,903.396,903.396,416.952
"Colleton County, South Carolina",2011,38833,18738,20095,2485.312,2291.147,3106.64,2795.976,2291.147,2058.149,2058.149,2291.147,2562.978,2795.976,2834.809,2912.475,2407.646,2019.316,1475.654,931.992,776.66,660.161
"Darlington County, South Carolina",2011,68581,32574,36007,4389.184,4732.089,4594.927,5074.994,3977.698,3634.793,4046.279,4800.67,4252.022,4937.832,5212.156,4732.089,4594.927,3154.726,2468.916,1783.106,1097.296,1097.296
"Dillon County, South Carolina",2011,31745,14681,17064,2412.62,2603.09,2031.68,2317.385,1999.935,1777.72,1936.445,1714.23,2412.62,2222.15,2317.385,2031.68,1777.72,1492.015,857.115,698.39,571.41,507.92
"Dorchester County, South Carolina",2011,133796,64944,68852,9633.312,9499.516,10703.68,9900.904,7893.964,8964.332,8964.332,9365.72,10703.68,10436.088,9231.924,7893.964,7091.188,4950.452,3478.696,2274.532,1204.164,1471.756
"Edgefield County, South Carolina",2011,26782,14412,12370,1419.446,1633.702,1580.138,1821.176,1580.138,1580.138,1874.74,1767.612,2142.56,2142.56,2088.996,1660.484,2008.65,1312.318,803.46,589.204,455.294,321.384
"Fairfield County, South Carolina",2011,23916,11523,12393,1434.96,1650.204,1387.128,1530.624,1482.792,1267.548,1267.548,1387.128,1602.372,1865.448,1985.028,1985.028,1602.372,884.892,1147.968,550.068,478.32,430.488
"Florence County, South Carolina",2011,135968,63690,72278,9245.824,9381.792,9245.824,9517.76,9381.792,8565.984,8837.92,8973.888,8701.952,9517.76,9789.696,9653.728,7614.208,5846.624,4215.008,2991.296,2447.424,2039.52
"Georgetown County, South Carolina",2011,60280,28802,31478,3375.68,3797.64,3496.24,3797.64,2893.44,2592.04,3134.56,3255.12,3616.8,4279.88,4521,4762.12,5003.24,4038.76,3134.56,1868.68,1446.72,1205.6
"Greenville County, South Carolina",2011,445586,216316,229270,30745.434,29408.676,29854.262,30745.434,29408.676,30299.848,29854.262,31636.606,32082.192,32973.364,31191.02,28517.504,23170.472,18714.612,13367.58,10248.478,7574.962,6683.79
"Greenwood County, South Carolina",2011,69243,32535,36708,4639.281,4500.795,4500.795,5193.225,5054.739,4293.066,4016.094,3877.608,4985.496,4708.524,4708.524,4154.58,4154.58,2977.449,2492.748,1869.561,1523.346,1523.346
"Calhoun County, Texas",2011,21120,10806,10314,1393.92,1056,1668.48,1647.36,1246.08,1330.56,1330.56,1415.04,1499.52,1520.64,1562.88,1309.44,1288.32,908.16,739.2,485.76,337.92,359.04
"Horry County, South Carolina",2011,265139,129781,135358,15112.923,14847.784,14847.784,16173.479,18294.591,17499.174,16173.479,15378.062,18559.73,18559.73,17764.313,19355.147,18824.869,15378.062,11931.255,8219.309,5302.78,3446.807
"Jasper County, South Carolina",2011,24195,12732,11463,1911.405,1500.09,1669.455,1475.895,2225.94,1645.26,1621.065,1669.455,1693.65,1645.26,1621.065,1354.92,1379.115,967.8,701.655,411.315,459.705,217.755
