County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Etowah County, Alabama",2009,103150,49448,53702,6498.45,7014.2,6395.3,6704.75,6085.85,6498.45,6395.3,6704.75,6911.05,7220.5,7426.8,6807.9,5982.7,4744.9,3610.25,3094.5,2578.75,2166.15
"Fayette County, Alabama",2009,17651,8490,9161,935.503,1059.06,1288.523,1200.268,953.154,953.154,970.805,1341.476,917.852,1341.476,1341.476,1306.174,1041.409,988.456,688.389,494.228,494.228,353.02
"Franklin County, Alabama",2009,30847,15364,15483,2313.525,2066.749,2035.902,1912.514,1881.667,2005.055,2128.443,2005.055,2282.678,2066.749,2035.902,1727.432,1727.432,1480.656,1048.798,956.257,678.634,524.399
"Geneva County, Alabama",2009,25800,12531,13269,1470.6,1522.2,1677,1677,1522.2,1470.6,1367.4,1341.6,2064,1883.4,1960.8,1599.6,1806,1161,1264.2,774,567.6,645
"Greene County, Alabama",2009,9112,4361,4751,610.504,637.84,710.736,674.288,510.272,564.944,382.704,337.144,765.408,619.616,810.968,528.496,583.168,428.264,227.8,273.36,218.688,227.8
"Hale County, Alabama",2009,17994,9093,8901,1061.646,1079.64,1565.478,1547.484,1187.604,1097.634,1079.64,1187.604,1349.55,1367.544,1223.592,1079.64,809.73,647.784,539.82,557.814,287.904,341.886
"Henry County, Alabama",2009,16580,8110,8470,1011.38,1110.86,1077.7,1293.24,994.8,613.46,746.1,1177.18,1160.6,1144.02,1210.34,1011.38,1260.08,762.68,596.88,580.3,431.08,414.5
"Houston County, Alabama",2009,97091,46220,50871,6699.279,6796.37,6505.097,6408.006,5825.46,6310.915,6019.642,6310.915,6796.37,7087.643,6602.188,6213.824,4951.641,4174.913,3398.185,2912.73,1941.82,2038.911
"Jackson County, Alabama",2009,52898,25754,27144,3120.982,3385.472,3385.472,3279.676,2962.288,3173.88,3438.37,3173.88,4073.146,3967.35,4020.248,3279.676,3597.064,2592.002,2221.716,1481.144,1163.756,687.674
"Jefferson County, Alabama",2009,662212,313595,348617,45692.628,42381.568,43705.992,44368.204,44368.204,50328.112,45030.416,43705.992,45030.416,49003.688,47679.264,41057.144,31123.964,23839.632,19204.148,18541.936,14568.664,12582.028
"Lamar County, Alabama",2009,14438,7061,7377,808.528,938.47,880.718,866.28,779.652,880.718,866.28,981.784,895.156,1097.288,1068.412,1053.974,822.966,736.338,664.148,462.016,317.636,346.512
"Lauderdale County, Alabama",2009,88550,42113,46437,4781.7,5755.75,4870.25,5932.85,6021.4,6464.15,5224.45,5844.3,5667.2,6375.6,6287.05,5755.75,5047.35,4161.85,3542,2922.15,2390.85,1593.9
"Lawrence County, Alabama",2009,34094,16797,17297,2011.546,2386.58,2079.734,2318.392,2079.734,2079.734,2079.734,2352.486,2966.178,2591.144,2386.58,2216.11,2113.828,1466.042,1056.914,818.256,511.41,511.41
"Lee County, Alabama",2009,130669,64714,65955,7840.14,7970.809,8101.478,13589.576,24435.103,7448.133,7186.795,8754.823,7840.14,8101.478,7186.795,6272.112,4965.422,3528.063,2874.718,2221.373,1306.69,1176.021
"Limestone County, Alabama",2009,74076,37422,36654,4666.788,4889.016,5185.32,4666.788,4148.256,5111.244,5037.168,5852.004,5926.08,5926.08,5259.396,4592.712,4000.104,2740.812,2148.204,1777.824,1037.064,1111.14
